name,singer,lyrics
1 + 1,Sia feat. Amir ,"¤Get a girl or get a boy\n¤One plus one\n¤Take 'em right down to the shore\n¤One plus one\n¤Give your all and give some more\n¤One plus one\n¤Let the music free your soul  \n\n¤Sway with me to the light\n¤Hold me for just one night\n¤Hold me for just one night ooooh\n¤We live for the beat\n¤Baby, you're all I need\n¤Baby, you're all I need ooooh\n\n¤Tous les sons qui vont éclore\n¤One plus one\n¤De nos âmes multicolores\nOne plus one\nFace à l'ironie du sort\nSans effort\nPourraient nous mettre d'accord\nOne plus one  \nTu peux danser comme tu veux\nSous le soleil quand il pleut\nSous le soleil quand il pleut\nC'est vrai si t'imagines  \n\nEvery day's a holiday\nLet the beat take you away\nLet the beat take you today\nBaby, this is magic  \n\nSi à deux on est plus forts\nOne plus one\nEt si nos yeux brillent encore\nOne plus one\nJe crois bien que j'veux ta voix\nOne plus one\nJe suis sûr que j'veux t'avoir\nOne plus one  \nToutes les coordonnées\nDe mon cœur sont données\nDe l'amour sont données\nLa nuit va s'en aller\nMe laisse pas m'en aller \nMe laisse pas m'en aller \n\nSo I'm taking you away\nOne plus one\nEvery day's a holiday\nOne plus one\nMove your body, feel the sway\nGrab someone\nEvery day's a holiday\nOne plus one\nEvery day's a holiday\nLet the beat take you away\nLet the beat take you today\nBaby this is magic  \n\nTu peux danser comme tu veux\nSous le soleil quand il pleut\nSous le soleil quand il pleut\nC'est vrai si t'imagines  \n\nEvery day's a holiday\nOne plus one\nLet the beat take you today\nOne plus one\n\nTous les sons qui vont éclore\nOne plus one\nDe nos âmes multicolores\nOne plus one\nFace à l'ironie du sort\nSans effort\nPourraient nous mettre d'accord\nOne plus one  \n\nTu peux danser comme tu veux\nSous le soleil quand il pleut\nSous le soleil quand il pleut\nC'est vrai si t'imagines\nTu peux danser comme tu veux\nSous le soleil quand il pleut\nSous le soleil quand il pleut\nC'est vrai si t'imagines"
"1, 2, 3",Hatik et Amel Bent,"¤Fatiguée d'être la seule à dire je t'aime\n¤J'me demande si un jour tu le diras\n¤Oui mon cœur est accroché à tes lèvres\n¤Dis-le-moi\n¤1 2 3\n¤Regarde-moi t'aimer sans bouger les lèvres\n¤Rassure-toi ça ira même si j'ai cœur de pirate\n¤Ça change rien si j'te dis que je t'aime\n¤Donc j'te l'dirai pas non\n¤1 2 3\n\n¤Je le sens j'le devine\n¤Je le vois mais j'l'entends pas\n¤Tu me demandes de te suivre\n¤Mais je n'sais pas où tu vas\n¤Combien de temps à subir\n¤A me dire que t'es comme ça\n¤Tes réponses ne me conviennent pas\n¤J'vais finir par m'poser les mauvaises questions\n¤Le silence est d'or mais ça ne te donne pas raison\n¤Avant de l'entendre dis-moi combien de saisons\nCombien de saisons\nNon non non\n\nFatiguée d'être la seule à dire ""je t'aime""\nJ'me demande si un jour tu le diras\nOui, mon cœur est accroché à tes lèvres\nDis-le moi\n1, 2, 3\nRegarde moi, t'aimer sans bouger les lèvres\nRassure-toi, ça ira même si j'ai cœur de pirate\nÇa change rien si j'te dis que je t'aime\nDonc, j'te l'dirai pas non\n1, 2, 3\n\nTu veux la vie d'princesse (princesse)\nMais, ma chérie, j'vais t'parler français\nTu m'dis que j't'aime avec des pincettes\nPourtant j'suis toujours sincère\nToi et moi à la muerte (bang, bang, bang, bang)\nJ'ai pas besoin d'parler, j't'aime en silencieux\nJ'veux t'offrir un monde loin des problèmes financiers\nMais tu m'demandes de l'amour comme si j't'en donnais pas\nT'aimes les paroles moi les actes, attention au faux départ\nRien à foutre, d'avoir un royaume si t'es pas ma reine\nJ't'aime en muet, t'es dans mes songes du matin au soir\nTu t'accroches à des chimères, bébé tu vis dans un rêve (dans un rêve)\nC'est pas que j't'aime pas, c'est juste que tu n'veux pas le voir\n\n(Non) \n(Non) \n(Non) \n(Non) \n(Non) \n(Non) \n(Non) \n(Non) \n(Non) \n(Non) \n(Non) \n(Non) \n(Non) \n(Non) \n(Non) \n(Non) \n(Non) \n(Non) \n(Non) \n(Non) \n(Non) \n(Non) \n(Non) \n(Non) \n(Non) \n\nFatiguée d'être la seule à dire ""je t'aime""\nJ'me demande si un jour tu le diras\nOui, mon cœur est accroché à tes lèvres\nDis-le moi\n1, 2, 3\nRegarde moi t'aimer sans bouger les lèvres\nRassure-toi, ça ira même si j'ai cœur de pirate\nÇa change rien si j'te dis que je t'aime\nDonc, j'te l'dirai pas non\n1, 2, 3\n\nJ'te donnerai tout, t'es ma base\nEt peu importe ce qui s'passe\nPour toi, j'pourrais prendre une balle, balle, balle\nJ'aime pas te voir dans le mal\nPour toi, je t'aime c'est normal\nMais pour moi c'est qu'un détail-tail-tail\nJ'te donnerai tout, t'es ma base\nEt peu importe ce qui s'passe\nPour toi, j'pourrais prendre une balle, balle, balle\nJ'aime pas te voir dans le mal\nPour toi, je t'aime c'est normal\nMais pour moi c'est qu'un détail-tail-tail\n\nFatiguée d'être la seule à dire ""je t'aime""\nJ'me demande si un jour tu le diras\nOui, mon cœur est accroché à tes lèvres\nDis-le moi\n1, 2, 3\nRegarde moi t'aimer sans bouger les lèvres\nRassure-toi, ça ira même si j'ai cœur de pirate\nÇa change rien si j'te dis que je t'aime\nDonc, j'te l'dirai pas non\n1, 2, 3\n\n1, 2, 3\n\n1, 2, 3"
100% VIP,Philippe Katerine,"¤Ah toi t'es trop V.I.P\n¤Ça le fait  \n¤Ça le fait  \n¤Ça le fait  \n¤Ça le fait  \n¤Grave\n¤T'es vraiment V.I.P\n¤Tu le sais  \n¤Tu le sais  \n¤Tu le sais  \n¤Tu le sais  \n\n¤Rolex et bottes Gucci\n¤C'est trop frais\n¤Week-end en Ferrari\n¤C'est cadeau V.I.P\n\n¤100% V.I.P\n¤Ça le fait   \n¤Ça le fait   \n¤Ça le fait   \n¤Ça le fait   \n\n¤Super, génial\n¤Trop top, inouï\n¤Trop beau, groovy\n¤Trop frais, cheesy\n¤Classieux, stylé\n¤Ok, funky\n¤Trop drôle, samedi\n¤Trop cool, extra\n¤Sympa, puissant\n¤Dément, piscine\n¤Villa, champagne\n¤Taxi, hi-fi\n¤Dolby, Botox\n¤Glamour, sexy, crazy\n¤T'es trop V.I.P   \n¤T'es trop V.I.P   \n\n¤Oh c'est vraiment trop groovy \nC'que tu fais  \nC'que tu fais  \nC'que tu fais  \nC'que tu fais  \nEn t-shirt à Manille\nT'es ok !  \nT'es ok !  \nT'es ok !  \nT'es ok !  \nPascal, Maigret, Johnny, tu connais\nEt tu dis V\nEt tu dis I\nEt tu dis P\nEt tu dis V.I.P\nAu carré V.I.P c'est fou\nComme tu te la joues\nComplètement V.I.P\nTotalement V.I.P   \nTotalement V.I.P   \n\nSuper, génial\nTrop top, inouï\nTrop beau, groovy\nTrop frais, cheesy\nClassieux, stylé\nOk, funky\nTrop drôle, samedi\nTrop cool, extra\nSympa, puissant\nDément, piscine\nVilla, champagne\nTaxi, hi-fi\nDolby, Botox\nGlamour, sexy, crazy\nT'es trop V.I.P  \nT'es trop V.I.P  \nT'es trop V.I.P  \nT'es trop V.I.P  \nT'es trop V.I.P  \nT'es trop V.I.P  \nT'es trop V.I.P  \nT'es trop V.I.P  \nT'es trop V.I.P  \nV – I – P  \nV – I – P"
17 ans,Claude François,¤J'ai eu moi aussi dix-sept ans\n¤Le monde n'était pas différent\n¤Certains n'avaient rien à gagner\n¤Des places leur étaient réservées\n\n¤L'été ils avaient la villa\n¤L'auto que leur prêtait papa\nLeur mère leur donnait plein d'argent\nCertains ont tout à dix-sept ans\n\nMoi on ne me connaissait pas\nLes autres avaient tous une Vespa\nQuand j'allais pour me baigner\nAvec mon chien sur la jetée\nIls me poursuivaient en riant\nJe revenais les coudes en sang\nLe courage ça s'apprend\nÀ dix-sept ans\n\nJ'allais au collège français\nJ'étais dans l'équipe de relais\nToujours le troisième coureur\nJe n'ai jamais reçu de fleurs\n\nJe détachais dans des revues\nToutes celles qui étaient moitié nues\nJ'ai fait l'amour solitairement\nOù est la honte à dix-sept ans\n\nDans les rues de la haute ville\nJ'ai vu mon destin difficile\nJe devrais pour arriver\nSerrer les poings bien des années\nLançant des pierres contre le vent\nJ'ai fait des rêves de géant\nJe suis devenu fort\nÀ dix-sept ans\n\nAlors la rage me prenait dans le cœur\nEt j'étais fils d'ambassadeur\nJ'inventais oui mais j'étais\nBien reçu et considéré\nJ'étais trahi en peu de temps\nEt l'on riait à mes dépens\nAlors j'ai tout compris\nÀ dix-sept ans\n\nJ'ai eu moi aussi dix-sept ans\nUne fille s'en souvient sûrement\nSans me demander qui j'étais\nLa première fois elle m'a aimé\n\nJ'ai eu moi aussi dix-sept ans\nMais qu'ils sont loin mes dix-sept ans
1980,Pascal Obispo & Melissa Mars,"¤(1980)\n¤Qu'est-ce qu'on risque à passer pour des fous\n¤La musique fera toujours de nous\n¤Des rêveurs   \n¤Des rêveurs   \n¤Chacun son monde à part\n¤Son refuge et son échappatoire\n¤Pour ailleurs\n¤Un monde meilleur\n\n¤C'était en 1980\n¤Une génération qui n'attendait rien\n¤1980\n¤D'où je viens\n¤Déjà en 1980\n¤Sans illusion et sans lendemain\n¤1980\n¤C'est pas la fin\n\n¤Qu'importe ceux qui ont servi d'exemples\n¤Se rejoignent, se suivent et se ressemblent\n¤Les rêveurs   \n¤Les rêveurs   \n¤Faut bien passer le temps\nLes couleurs qu'on porte et les courants\nQuestion d'heure, non, rien ne se meurt\nNon\n\nC'était en 1980\nUne génération qui n'attendait rien\n1980\nD'où je viens\nDéjà en 1980\nSans illusion et sans lendemain\n1980\nC'est pas la fin   \nC'est pas la fin   \n(1980) \n(1980) \n\nC'était en 1980\nUne génération qui n'attendait rien\n1980\nD'où je viens\nDéjà en 1980\nSans illusion et sans lendemain\n1980\nC'est pas la fin\nNon c'est pas la fin\nC'est pas la fin\n\nRedevenir gris (c'est pas la fin)\n1980 (c'est pas la fin)\nRedevenir gris (c'est pas la fin)\n1980 (c'est pas la fin)\n1980\n\n(1980)"
1987,Calogero,"¤Tu t'souviens\n¤Les couleurs sur les baskets\n¤Les crayons dans les cassettes\n¤Je rembobine\n¤Tu t'souviens\n¤Tous ces rêves plein nos disquettes\n¤À Paris c'étaient les States\n¤1987 \n\n¤Il y a certains jours où je reprends mon skate\n¤Et je vais faire un tour en 1987\n¤Il y a certains jours dans lesquels je me jette\n¤Et je suis de retour en 1987\n¤Tu sais de tous ces jours y a rien que je regrette\n¤Mais parfois je retourne en 1987\n¤En 87\n\n¤Tu t'souviens\n¤Les survêts et les houppettes\n¤Sabrina et Sept sur Sept\n¤Dans la cuisine\n¤C'était rien\n¤Que douze mois sur la planète\n¤L'URSS INXS\n¤On chantait I want your sex \n\n¤Il y a certains jours où je reprends mon skate\n¤Et je vais faire tour en 1987\n¤Il y a certains jours dans lesquels je me jette\n¤Et je suis de retour en 1987\n¤Tu sais de tous ces jours y a rien que je regrette\n¤Mais parfois je retourne en 1987\n¤En 87\n\n[Instrumental] \n\n(Ouh ouh) Tu verras bien qu'un jour une chanson dans la tête... \nTu l'auras à ton tour ton 1987\n(Ouh ouh) Tu verras bien qu'un jour une chanson dans la tête...\nTu l'auras à ton tour ton 1987, c'est tout c'que je te souhaite (ouh ouh)  \nTu l'auras à ton tour ton 1987, c'est tout c'que je te souhaite (ouh ouh)  \nTu l'auras à ton tour ton 1987, c'est tout c'que je te souhaite (ouh ouh)  \nTu l'auras à ton tour ton 1987\nTu t'souviens"
1990,Jean Leloup,"¤Mesdames et messieurs attention! \n¤Je vais vous faire une chanson\n¤Le sujet en est ambitieux\n¤De mon image je suis soucieux\n¤En 1990\n¤C'est l'heure des communications\n\n¤Depuis le début de ce siècle\n¤Nous avons vu l'apparition\n¤Du moteur Ford à explosion\n¤Puis de l'avion à réaction\n\n¤Mais de toutes les inventions\n¤C'est sans doute la bombe à neutrons\n¤Qui nous laissa le plus baba\n¤Au cours du célèbre Hiroshima\n¤Mais 1990 devrait nous laisser tous pantois\n¤Devrait nous laisser tous gagas\n\n¤Il y a des missiles Patriots\n¤Dirigés par ordinateurs\n¤Sony, Fuji et Macintosh\n¤Se culbutent dans les airs, le rush\n¤La guerre technologique fait rage\n¤C'est un super méga carnage\n¤Attention voilà les avions qui tirent\n¤C'est l'heure de l'émission\n\n¤En 1990\n¤C'est l'heure d'la médiatisation\n¤En 1990\n¤C'est l'ère d'la conscientisation\n\n¤Fini les temps maudits du sport\n¤Du jogging et de la cigarette\nLa preuve en est nos beaux soldats\nAméricains qui sont là-bas\nBronzés à la vitamine D\nNourris aux fibres équilibrées\nLes morts qui seront faits là-bas\nSeront en bonne santé je crois\n\nLes impôts du contribuable\nN'ont pas été payés en vain\nLa preuve en est, il est possible\nDe ne jamais rater sa cible\nSi on connaît le vidéo\nSi on se pratique le coco\nBientôt disponible, bientôt\nKoweït-Irak en Nintendo\n\nEn 1990\nC'est l'ère de la socialisation\nEn 1990\nC'est la démocratisation\n\nJ'en étais à ces réflexions\nQuand tout à coup je me sens con\nAssis par terre dans le salon\nJe ne fous rien, je suis un con\nHeureusement que ma copine\nA soudain l'idée de génie\nDe me toucher le porte-avions\nVite fait je lui sors mon canon\n\nÇa va chauffer oui mon amour\nJe pointe mon radar à ions\nEn plein dans ta sortie de secours\nJe vais larguer mes bombes attention\n\nEn 1990\nJ'ai mis ma participation\nEn 1990\nJ'étais dans la coalition\n\nEn 1990   \nEn 1990   \nHier soir DJ a sauvé mon âme avec cette chanson   \nHier soir DJ a sauvé mon âme avec cette chanson   \nHier soir DJ a sauvé mon âme avec cette chanson   \nHier soir DJ a sauvé mon âme avec cette chanson   \nHier soir DJ a sauvé mon âme avec cette chanson"
1er gaou,Magic System,"¤C'est dans ma galère que la go Antou m'a quitté oh \n¤C'est dans ma galère que la go Antou m'a quitté oh \n¤C'est dans ma galère que la go Antou m'a quitté oh \n¤C'est dans ma galère que la go Antou m'a quitté oh \n¤<br />Quand j'avais un peu oh\n¤Matin midi soir\n¤On était ensemble oh\n¤À la rue Princesse oh\n¤Aux mille maquis oh\n¤A'salfo payait les poulets oh\n¤<br />L'argent est fini, Antou a changé de côté oh\n¤Wari bana, elle a changé de copain oh\n¤<br />Nangré nangré wa \n¤<br />Nangré nangré wa \n¤<br />Nangré nangré wa \n¤<br />Nangré nangré wa \n¤<br />Dieu merci pour moi eh \n¤Je savais chanter un peu oh\n¤J'ai fait ma cassette oh \n¤On me voit à la télé oh\n¤Matin midi soir c'est moi \n¤Je chante à la radio oh\nAntou a vu çà elle dit le gaou a percé oh\nAttends je vais partir le couper oh\n\nEt on dit premier gaou n'est pas gaou oh\nC'est deuxième gaou qui est niata oh ah\n\nOn dit premier gaou n'est pas gaou oh\nC'est deuxième gaou qui est niata oh ah\n\nDimanche matin eh koko on frappe à ma porte oh\nA ma grande surprise oh c'est la go Antou je vois oh\nOn s'embrasse j'ai dit oh y'a longtemps qu'on s'est plus revus oh\nElle veut me mentir oh \nElle dit chéri j'avais voyagé oh\nJe suis de retour oh\nJe t'appartiens oh \nPrends-moi cadeau oh, fais ce que tu veux oh\n\nEt on dit premier gaou n'est pas gaou oh\nC'est deuxième gaou qui est niata oh ah\n\nJ'ai dit chéri koko eh qu'est ce que tu veux manger oh\nSans même hésiter oh, elle me dit poulet braisé oh\n\nAttend on dit premier gaou n'est pas gaou oh\nC'est deuxième gaou qui est niata oh ah\nJ'ai dit chéri koko c'est poulet tu veux manger oh\nPoulet est trop petit oh, ça peut pas te rassasier oh\nC'est caïman braisé oh, je vais te donner oh\nKedjenou d'éléphant oh, tu vas manger oh\nNan guin nan wan, nan guin nan wan\n\nElle est fâché, elle dit elle s'en va à la maison oh\nSi elle va à la maison population va me tuer oh\nJe lui ai demandé pardon eh, elle a accepté oh\nA un moment donné, elle a tout gâté oh\nElle est quitté dans poulet, elle s'en va dans aloco oh\nSi c'est aloco c'est pas compliqué oh\nC'est plantation de bananes oh\nTu vas griller oh\nAu lieu de fourchette oh,\nCa peut pas bien piquer oh\nC'est avec râteau oh, tu vas manger oh\n\n(x2) Nan guin nan wan, nan guin nan wan\n\nEt on dit premier gaou n'est pas gaou oh\nC'est deuxième gaou qui est niata oh ah\n\nKader gaou oh ah\nBlé go gaou oh ah\nSoro guillaume gaou oh ah\nSabine yo so gaou oh ah\nAngelo gaou oh ah\nHotorino gaou oh ah\nBlé niata oh ah\nDieu fit niata oh ah\nKader niata oh ah\nKader tu m'a niata oh ah\nBlé niata oh ah\nMichel est gaou oh ah\nEmile est gaou oh ah\nHonoré ma gaou oh ah \nHonoré gaou oh ah\nJ'ai dit tu danses ah oh ah\nRegardes ta science oh ah\nJ'ai dit tu danses ah oh ah\nNan guin nan wan, nan guin nan wan\nOh tu danses ah oh ah\n\n(x2) On dit premier gaou n'est pas gaou oh\nC'est deuxième gaou qui est niata oh ah"
1ère fois,Imen Es et Alonzo,"¤Kassim, c'que j'vais te raconter va te faire mal\n¤Est-ce que t'es prêt à tout encaisser ?\n¤Comme je le fais depuis tout c'temps\n¤Je t'avoue que maman le savait\n¤On est ensemble depuis trois ans\nJe m'en veux de te l'avoir caché\nJe pensais avoir trouvé l'homme parfait\nJusqu'à qu'il se mette à me frapper\n\nJ'ai des bleus plein le corps camouflés par mes habits \nPour un oui, pour un non, monsieur me prenait pour cible\nHumiliée, je perdais confiance en moi, j'ai subi \nRenfermée sur moi-même, j'en ai perdu des amis\n\nKassim, je l'aime, je pensais qu'il allait changer \nPardonne-moi mon frère, j'me suis mise en danger\nEt maintenant que je t'ai tout dit, tu vas faire quoi ?\n\nCe n'est pas la première fois\nQu'il fait ça\nJ'te connais\nJ'avais peur d't'en parler\nQui t'a touché ? Dis-le moi, dis-le moi\nSur ma vie, j'vais rentrer pour des années\nJe sais qu'il me fait du mal mais je l'aime\nMalgré tout, j'suis à bout\nJ'te jure qu'j'vais lui faire du sale même si tu l'aimes\nRien à foutre, il est où ?\n\nImen, comment tu as pu me cacher un truc pareil, ma sœur ? \nJ'ai les mains moites\nEt j'ai le cœur qui bat à deux cents à l'heure\nJe n'sais pas par où commencer\nC'est soit lui ou moi qui meurt\n\nCette nuit, sur ma vie, j'vais le suivre, j'irais seul\nTu me connais très bien, j'vais pas porter plainte chez le commissaire\nTu as beau aimer\nCette enflure a sali une famille entière\nJ'me sens responsable de vous depuis qu'on a perdu notre père\nJ'ai fait des bails dans la zone et j'ai toujours marché fier\n\nImen, une femme c'est une reine\nImen, une femme c'est de l'or\nIl t'a volé ton honneur \nJ'le retrouverais avant l'aube car il n'a rien d'un homme\nParle mais c'est déjà trop tard\nÇa sera la dernière même si tu me dis que\n\nCe n'est pas la première fois\nQu'il fait ça\nJ'te connais\nJ'avais peur d't'en parler\nQui t'a touché ? Dis-le moi, dis-le moi\nSur ma vie, j'vais rentrer pour des années\nJe sais qu'il me fait du mal mais je l'aime\nMalgré tout, j'suis à bout\nJ'te jure qu'j'vais lui faire du sale même si tu l'aimes\nRien à foutre, il est où ?\n\nJe sais qu'il me fait du mal mais je l'aime\nMalgré tout, j'suis à bout\nJ'te jure qu'j'vais lui faire du sale même si tu l'aimes\nRien à foutre, il est où ?"
2 be 3,2 be 3,¤2 be 3   \n¤2 be 3   \n¤2 be 3   \n¤Pour la première fois\n\n¤2 be 3 or not to be on s'est juré\n¤De toujours tout partager pour la première fois\n¤2 be 3 or not to be on s'est promis\n¤D'être toujours réunis pour la première fois\n¤2 be 3\n\n¤Sans trop savoir où aller sur des chemins isolés\n¤Un soir on s'est trouvés et notre histoire a commencé\n¤On échangeait sans soucis les souvenirs de nos vies\n¤Mais cet instant tu sais on ne peut l'oublier\n\n¤2 be 3 or not to be on s'est juré\n¤De toujours tout partager pour la première fois\n¤2 be 3 or not to be on s'est promis\n¤D'être toujours réunis pour la première fois\n¤2 be 3\n\n¤Un seul regard tout est dit et nos pensées sont unies\n¤C'est la magie d'un soir qui s'est gravée dans nos mémoires\nUn sentiment d'harmonie un sentiment d'infini\nEt ce moment tu sais on ne peut l'oublier\n\n2 be 3 or not to be\nOn s'est juré\nDe toujours tout partager\nPour la première fois\n2 be 3 or not to be\nOn s'est promis\nD'être toujours réunis\nPour la première fois\n\nSans savoir qu'un soir\nÉcrit une amitié\n2 be 3\nSans savoir qu'un soir\nSuffit à rassembler \n\n2 be 3 or not to be\nOn s'est juré\nDe toujours tout partager\nPour la première fois\n2 be 3 or not to be\nOn s'est promis\nD'être toujours réunis\nPour la première fois\n2 be 3 \n\n2 be 3   \n2 be 3   \n(Pour la première fois) \n\n2 be 3 or not to be\nOn s'est juré\nDe toujours tout partager\nPour la première fois\n2 be 3 or not to be\nOn s'est promis\nD'être toujours réunis\nOui pour la première fois\n2 be 3
